Model,Scenario,Region_Category,Region,Variable,Unit,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
GCAM 6.0 NGFS,Net Zero 2050,R5,OECD & EU (R5),Price|Carbon,US$2010/t CO2,0,12.97964121,99.00759293,207.6587938,383.0278467,715.3386479,1493.306666,1139.366772,1103.549411,1024.754068,1022.810263,1077.833583,1159.241525,1165.316112,1119.9238,1114.611276,1118.084291
GCAM 6.0 NGFS,Net Zero 2050,R5,Asia (R5),Price|Carbon,US$2010/t CO2,0,10.04520274,95.04612215,167.6494105,279.3730034,631.9915288,1143.362621,1149.326521,1227.509089,1083.176067,1018.315314,1033.719026,1108.781869,1148.980991,1159.391304,1195.008024,1206.664858
GCAM 6.0 NGFS,Net Zero 2050,R5,Reforming Economies (R5),Price|Carbon,US$2010/t CO2,0,17.12402907,106.0746122,223.9070973,376.4378849,645.4723804,1200.847279,1158.329478,1083.848927,1035.885322,1059.822384,1116.104136,1184.507616,1198.355182,1184.219943,1204.038594,1226.795773
GCAM 6.0 NGFS,Net Zero 2050,R5,Latin America (R5),Price|Carbon,US$2010/t CO2,0,14.32466599,123.8759022,267.8443383,423.5784692,705.0381074,1562.361518,1380.280563,1285.2134,1169.600185,1152.543456,1186.20435,1232.550733,1216.894376,1190.058386,1191.649654,1201.045252
GCAM 6.0 NGFS,Net Zero 2050,R5,Middle East & Africa (R5),Price|Carbon,US$2010/t CO2,0,15.04388508,110.9749207,226.5984033,368.4303358,620.7708207,1096.605246,1155.718941,1059.909104,1017.42862,1039.393925,1094.94384,1161.55115,1177.265463,1170.277705,1195.456409,1220.752378
GCAM 6.0 NGFS,Below 2?C,GCAM 6.0 NGFS,GCAM 6.0 NGFS|Africa_Eastern,Price|Carbon,US$2010/t CO2,0,8.30726715,73.39063736,146.3988966,210.7682793,275.301875,354.8977954,433.2213545,555.7682733,726.1374538,914.2346832,1212.00178,1023.908081,905.7415808,830.621994,788.4026778,757.0745854
GCAM 6.0 NGFS,Below 2?C,GCAM 6.0 NGFS,GCAM 6.0 NGFS|Africa_Northern,Price|Carbon,US$2010/t CO2,0,8.30726715,73.39063736,146.3988966,210.7682793,275.301875,354.8977954,433.2213545,555.7682733,726.1374538,914.2346832,1212.00178,1023.908081,905.7415808,830.621994,788.4026778,757.0745854
GCAM 6.0 NGFS,Below 2?C,GCAM 6.0 NGFS,GCAM 6.0 NGFS|Africa_Southern,Price|Carbon,US$2010/t CO2,0,8.30726715,73.39063736,146.3988966,210.7682793,275.301875,354.8977954,433.2213545,555.7682733,726.1374538,914.2346832,1212.00178,1023.908081,905.7415808,830.621994,788.4026778,757.0745854
GCAM 6.0 NGFS,Below 2?C,GCAM 6.0 NGFS,GCAM 6.0 NGFS|Africa_Western,Price|Carbon,US$2010/t CO2,0,8.30726715,73.39063736,146.3988966,210.7682793,275.301875,354.8977954,433.2213545,555.7682733,726.1374538,914.2346832,1212.00178,1023.908081,905.7415808,830.621994,788.4026778,757.0745854
GCAM 6.0 NGFS,Below 2?C,GCAM 6.0 NGFS,GCAM 6.0 NGFS|Argentina,Price|Carbon,US$2010/t CO2,0,12.94829744,84.3293887,176.5624494,270.8980978,358.8950918,485.0773934,565.4392276,732.4552467,930.0028095,1060.711717,1395.946827,1227.177879,1091.288738,990.131553,922.2138551,867.0379605
GCAM 6.0 NGFS,Below 2?C,GCAM 6.0 NGFS,GCAM 6.0 NGFS|Australia_NZ,Price|Carbon,US$2010/t CO2,0,0,103.0151234,152.064038,217.0472349,303.7030735,421.206727,531.7135512,725.6366042,933.2052108,1053.719849,1374.730608,1182.923885,1043.105952,936.068189,863.6048672,795.2890396
GCAM 6.0 NGFS,Below 2?C,GCAM 6.0 NGFS,GCAM 6.0 NGFS|Brazil,Price|Carbon,US$2010/t CO2,0,6.0626509,117.4210922,191.0096451,267.371967,343.4251038,451.0326509,565.4673406,750.9705918,1016.550868,1122.570237,1451.121481,1175.371824,1002.60711,882.9528118,805.7805627,746.2967644
GCAM 6.0 NGFS,Below 2?C,GCAM 6.0 NGFS,GCAM 6.0 NGFS|Canada,Price|Carbon,US$2010/t CO2,0,11.69376727,158.6238755,171.0746266,222.7898938,298.0879567,397.8423857,486.6868626,655.6592157,876.5682671,984.1500991,1236.336929,1019.400906,880.245282,796.4916971,745.0544179,699.5473278
GCAM 6.0 NGFS,Below 2?C,GCAM 6.0 NGFS,GCAM 6.0 NGFS|Central America and Caribbean,Price|Carbon,US$2010/t CO2,0,8.30726715,73.39063736,146.3988966,210.7682793,275.301875,354.8977954,433.2213545,555.7682733,726.1374538,914.2346832,1212.00178,1023.908081,905.7415808,830.621994,788.4026778,757.0745854
GCAM 6.0 NGFS,Below 2?C,GCAM 6.0 NGFS,GCAM 6.0 NGFS|Central Asia,Price|Carbon,US$2010/t CO2,0,8.30726715,73.39063736,146.3988966,210.7682793,275.301875,354.8977954,433.2213545,555.7682733,726.1374538,914.2346832,1212.00178,1023.908081,905.7415808,830.621994,788.4026778,757.0745854
GCAM 6.0 NGFS,Below 2?C,GCAM 6.0 NGFS,GCAM 6.0 NGFS|China,Price|Carbon,US$2010/t CO2,0,3.899355634,57.43887528,83.76929507,106.1712209,133.2494134,204.9276384,432.092659,715.2939146,900.2030307,1039.606297,1364.282494,1158.334106,966.9492599,863.5655917,818.414255,791.2469691
GCAM 6.0 NGFS,Below 2?C,GCAM 6.0 NGFS,GCAM 6.0 NGFS|Colombia,Price|Carbon,US$2010/t CO2,0,9.773649441,152.3958954,228.3352613,283.9893994,357.8925285,469.9900523,520.7323244,672.3789256,896.9403104,1021.366376,1340.674645,1119.254309,972.8433817,867.8372792,797.3192942,748.2356518
GCAM 6.0 NGFS,Below 2?C,GCAM 6.0 NGFS,GCAM 6.0 NGFS|EU-12,Price|Carbon,US$2010/t CO2,0,9.576610393,60.07871895,115.8933574,195.7628008,291.8149958,416.46055,501.4421354,696.7774119,1001.494662,1153.907012,1484.69419,1221.737601,1052.608145,947.3472895,879.5370825,816.7260281
GCAM 6.0 NGFS,Below 2?C,GCAM 6.0 NGFS,GCAM 6.0 NGFS|EU-15,Price|Carbon,US$2010/t CO2,0,9.576610393,60.07871895,115.8933574,195.7628008,291.8149958,416.46055,501.4421354,696.7774119,1001.494662,1153.907012,1484.69419,1221.737601,1052.608145,947.3472895,879.5370825,816.7260281
GCAM 6.0 NGFS,Below 2?C,GCAM 6.0 NGFS,GCAM 6.0 NGFS|Europe_Eastern,Price|Carbon,US$2010/t CO2,0,8.30726715,73.39063736,146.3988966,210.7682793,275.301875,354.8977954,433.2213545,555.7682733,726.1374538,914.2346832,1212.00178,1023.908081,905.7415808,830.621994,788.4026778,757.0745854
GCAM 6.0 NGFS,Below 2?C,GCAM 6.0 NGFS,GCAM 6.0 NGFS|Europe_Non_EU,Price|Carbon,US$2010/t CO2,0,8.30726715,73.39063736,146.3988966,210.7682793,275.301875,354.8977954,433.2213545,555.7682733,726.1374538,914.2346832,1212.00178,1023.908081,905.7415808,830.621994,788.4026778,757.0745854
GCAM 6.0 NGFS,Below 2?C,GCAM 6.0 NGFS,GCAM 6.0 NGFS|European Free Trade Association,Price|Carbon,US$2010/t CO2,0,8.30726715,73.39063736,146.3988966,210.7682793,275.301875,354.8977954,433.2213545,555.7682733,726.1374538,914.2346832,1212.00178,1023.908081,905.7415808,830.621994,788.4026778,757.0745854
GCAM 6.0 NGFS,Below 2?C,GCAM 6.0 NGFS,GCAM 6.0 NGFS|India,Price|Carbon,US$2010/t CO2,0,0.1992715511,90.46564604,141.3598069,195.0787908,279.534378,377.7543663,466.3615778,617.5061553,804.0028289,1009.095425,1346.554768,1123.990771,986.9936463,910.6709885,873.4915474,842.5217717
GCAM 6.0 NGFS,Below 2?C,GCAM 6.0 NGFS,GCAM 6.0 NGFS|Indonesia,Price|Carbon,US$2010/t CO2,0,8.30726715,73.39063736,146.3988966,210.7682793,275.301875,354.8977954,433.2213545,555.7682733,726.1374538,914.2346832,1212.00178,1023.908081,905.7415808,830.621994,788.4026778,757.0745854
GCAM 6.0 NGFS,Below 2?C,GCAM 6.0 NGFS,GCAM 6.0 NGFS|Japan,Price|Carbon,US$2010/t CO2,0,4.548931279,84.13062979,136.5325983,204.3406555,259.8133077,381.31926,440.8386956,606.7120453,858.7960974,947.6416492,1182.654744,959.5082287,838.7261034,783.0222632,751.0867233,727.1166709
GCAM 6.0 NGFS,Below 2?C,GCAM 6.0 NGFS,GCAM 6.0 NGFS|Mexico,Price|Carbon,US$2010/t CO2,0,8.30726715,73.39063736,146.3988966,210.7682793,275.301875,354.8977954,433.2213545,555.7682733,726.1374538,914.2346832,1212.00178,1023.908081,905.7415808,830.621994,788.4026778,757.0745854
GCAM 6.0 NGFS,Below 2?C,GCAM 6.0 NGFS,GCAM 6.0 NGFS|Middle East,Price|Carbon,US$2010/t CO2,0,8.30726715,73.39063736,146.3988966,210.7682793,275.301875,354.8977954,433.2213545,555.7682733,726.1374538,914.2346832,1212.00178,1023.908081,905.7415808,830.621994,788.4026778,757.0745854
GCAM 6.0 NGFS,Below 2?C,GCAM 6.0 NGFS,GCAM 6.0 NGFS|Pakistan,Price|Carbon,US$2010/t CO2,0,8.30726715,73.39063736,146.3988966,210.7682793,275.301875,354.8977954,433.2213545,555.7682733,726.1374538,914.2346832,1212.00178,1023.908081,905.7415808,830.621994,788.4026778,757.0745854
GCAM 6.0 NGFS,Below 2?C,GCAM 6.0 NGFS,GCAM 6.0 NGFS|Russia,Price|Carbon,US$2010/t CO2,0,8.30726715,73.39063736,146.3988966,210.7682793,275.301875,354.8977954,433.2213545,555.7682733,726.1374538,914.2346832,1212.00178,1023.908081,905.7415808,830.621994,788.4026778,757.0745854
GCAM 6.0 NGFS,Below 2?C,GCAM 6.0 NGFS,GCAM 6.0 NGFS|South Africa,Price|Carbon,US$2010/t CO2,0,0.7843526696,25.79202279,55.21517014,101.0310898,289.2534882,490.5003909,575.8071362,777.3334325,1048.988886,1187.928825,1525.15264,1297.558772,1147.792145,1060.651771,994.7763993,940.3285486
GCAM 6.0 NGFS,Below 2?C,GCAM 6.0 NGFS,GCAM 6.0 NGFS|South America_Northern,Price|Carbon,US$2010/t CO2,0,8.30726715,73.39063736,146.3988966,210.7682793,275.301875,354.8977954,433.2213545,555.7682733,726.1374538,914.2346832,1212.00178,1023.908081,905.7415808,830.621994,788.4026778,757.0745854
GCAM 6.0 NGFS,Below 2?C,GCAM 6.0 NGFS,GCAM 6.0 NGFS|South America_Southern,Price|Carbon,US$2010/t CO2,0,8.30726715,73.39063736,146.3988966,210.7682793,275.301875,354.8977954,433.2213545,555.7682733,726.1374538,914.2346832,1212.00178,1023.908081,905.7415808,830.621994,788.4026778,757.0745854
GCAM 6.0 NGFS,Below 2?C,GCAM 6.0 NGFS,GCAM 6.0 NGFS|South Asia,Price|Carbon,US$2010/t CO2,0,8.30726715,73.39063736,146.3988966,210.7682793,275.301875,354.8977954,433.2213545,555.7682733,726.1374538,914.2346832,1212.00178,1023.908081,905.7415808,830.621994,788.4026778,757.0745854
GCAM 6.0 NGFS,Below 2?C,GCAM 6.0 NGFS,GCAM 6.0 NGFS|South Korea,Price|Carbon,US$2010/t CO2,0,5.795866809,150.7030381,177.4740547,214.7585061,287.6228516,422.716147,594.1558292,866.1160195,1126.554015,1241.519643,1503.202052,1168.45892,1017.091092,957.6858449,970.1630553,962.1301793
GCAM 6.0 NGFS,Below 2?C,GCAM 6.0 NGFS,GCAM 6.0 NGFS|Southeast Asia,Price|Carbon,US$2010/t CO2,0,8.30726715,73.39063736,146.3988966,210.7682793,275.301875,354.8977954,433.2213545,555.7682733,726.1374538,914.2346832,1212.00178,1023.908081,905.7415808,830.621994,788.4026778,757.0745854
GCAM 6.0 NGFS,Below 2?C,GCAM 6.0 NGFS,GCAM 6.0 NGFS|Taiwan,Price|Carbon,US$2010/t CO2,0,8.30726715,73.39063736,146.3988966,210.7682793,275.301875,354.8977954,433.2213545,555.7682733,726.1374538,914.2346832,1212.00178,1023.908081,905.7415808,830.621994,788.4026778,757.0745854
GCAM 6.0 NGFS,Below 2?C,GCAM 6.0 NGFS,GCAM 6.0 NGFS|USA,Price|Carbon,US$2010/t CO2,0,1.405649945,86.67196221,127.8500639,202.1312219,294.5270734,400.8500218,457.4803507,606.6532974,866.4471741,972.9350797,1256.589451,999.913223,853.5635655,758.4432337,702.3135642,657.7635563
GCAM 6.0 NGFS,Current Policies,GCAM 6.0 NGFS,GCAM 6.0 NGFS|Africa_Eastern,Price|Carbon,US$2010/t CO2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCAM 6.0 NGFS,Current Policies,GCAM 6.0 NGFS,GCAM 6.0 NGFS|Africa_Northern,Price|Carbon,US$2010/t CO2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCAM 6.0 NGFS,Current Policies,GCAM 6.0 NGFS,GCAM 6.0 NGFS|Africa_Southern,Price|Carbon,US$2010/t CO2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCAM 6.0 NGFS,Current Policies,GCAM 6.0 NGFS,GCAM 6.0 NGFS|Africa_Western,Price|Carbon,US$2010/t CO2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCAM 6.0 NGFS,Current Policies,GCAM 6.0 NGFS,GCAM 6.0 NGFS|Argentina,Price|Carbon,US$2010/t CO2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCAM 6.0 NGFS,Current Policies,GCAM 6.0 NGFS,GCAM 6.0 NGFS|Australia_NZ,Price|Carbon,US$2010/t CO2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCAM 6.0 NGFS,Current Policies,GCAM 6.0 NGFS,GCAM 6.0 NGFS|Brazil,Price|Carbon,US$2010/t CO2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCAM 6.0 NGFS,Current Policies,GCAM 6.0 NGFS,GCAM 6.0 NGFS|Canada,Price|Carbon,US$2010/t CO2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCAM 6.0 NGFS,Current Policies,GCAM 6.0 NGFS,GCAM 6.0 NGFS|Central America and Caribbean,Price|Carbon,US$2010/t CO2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCAM 6.0 NGFS,Current Policies,GCAM 6.0 NGFS,GCAM 6.0 NGFS|Central Asia,Price|Carbon,US$2010/t CO2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCAM 6.0 NGFS,Current Policies,GCAM 6.0 NGFS,GCAM 6.0 NGFS|China,Price|Carbon,US$2010/t CO2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCAM 6.0 NGFS,Current Policies,GCAM 6.0 NGFS,GCAM 6.0 NGFS|Colombia,Price|Carbon,US$2010/t CO2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCAM 6.0 NGFS,Current Policies,GCAM 6.0 NGFS,GCAM 6.0 NGFS|EU-12,Price|Carbon,US$2010/t CO2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCAM 6.0 NGFS,Current Policies,GCAM 6.0 NGFS,GCAM 6.0 NGFS|EU-15,Price|Carbon,US$2010/t CO2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCAM 6.0 NGFS,Current Policies,GCAM 6.0 NGFS,GCAM 6.0 NGFS|Europe_Eastern,Price|Carbon,US$2010/t CO2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCAM 6.0 NGFS,Current Policies,GCAM 6.0 NGFS,GCAM 6.0 NGFS|Europe_Non_EU,Price|Carbon,US$2010/t CO2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCAM 6.0 NGFS,Current Policies,GCAM 6.0 NGFS,GCAM 6.0 NGFS|European Free Trade Association,Price|Carbon,US$2010/t CO2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCAM 6.0 NGFS,Current Policies,GCAM 6.0 NGFS,GCAM 6.0 NGFS|India,Price|Carbon,US$2010/t CO2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCAM 6.0 NGFS,Current Policies,GCAM 6.0 NGFS,GCAM 6.0 NGFS|Indonesia,Price|Carbon,US$2010/t CO2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCAM 6.0 NGFS,Current Policies,GCAM 6.0 NGFS,GCAM 6.0 NGFS|Japan,Price|Carbon,US$2010/t CO2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCAM 6.0 NGFS,Current Policies,GCAM 6.0 NGFS,GCAM 6.0 NGFS|Mexico,Price|Carbon,US$2010/t CO2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCAM 6.0 NGFS,Current Policies,GCAM 6.0 NGFS,GCAM 6.0 NGFS|Middle East,Price|Carbon,US$2010/t CO2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCAM 6.0 NGFS,Current Policies,GCAM 6.0 NGFS,GCAM 6.0 NGFS|Pakistan,Price|Carbon,US$2010/t CO2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
